"ATL", "WILLIAM B. HARTSFIELD ATLANTA INTL.", "ATLANTA, GEORGIA", "GA", "USA", "EST", 55
"BNA", "NASHVILLE INTERNATIONAL", "NASHVILLE, TENNESSEE", "TN", "USA", "CST", 30
"BOS", "LOGAN INTERNATIONAL", "BOSTON, MASSACHUSETTS", "MA", "USA", "EST", 40
"BUR", "BURBANK", "BURBANK, CALIFORNIA", "CA", "USA", "PST", 30
"BWI", "BALTIMORE/WASHINGTON INTERNATIONAL", "BALTIMORE, MARYLAND", "MD", "USA", "EST", 35
"CLE", "HOPKINS INTERNATIONAL", "CLEVELAND, OHIO", "OH", "USA", "EST", 30
"CLT", "CHARLOTTE/DOUGLAS INTERNATIONAL", "CHARLOTTE, NORTH CAROLINA", "NC", "USA", "EST", 40
"CMH", "PORT COLUMBUS INTERNATIONAL", "COLUMBUS, OHIO", "OH", "USA", "EST", 30
"CVG", "CINCINNATI/NORTHERN KENTUCKY INTL.", "CINCINNATI, OHIO", "OH", "USA", "EST", 40
"DAL", "LOVE FIELD", "DALLAS/FT. WORTH, TEXAS", "TX", "USA", "CST", 20
"DCA", "WASHINGTON NATIONAL", "WASHINGTON, DC", "DC", "USA", "EST", 45
"DEN", "STAPLETON INTERNATIONAL", "DENVER, COLORADO", "CO", "USA", "MST", 50
"DET", "DETROIT CITY", "DETROIT, MICHIGAN", "MI", "USA", "EST", 20
"DFW", "DALLAS/FORT WORTH INTERNATIONAL", "DALLAS/FT. WORTH, TEXAS", "TX", "USA", "CST", 55
"DTW", "METROPOLITAN WAYNE COUNTY", "DETROIT, MICHIGAN", "MI", "USA", "EST", 45
"EWR", "NEWARK INTERNATIONAL", "NEW YORK NY/NEWARK, NJ", "NJ", "USA", "EST", 60
"HOU", "HOBBY", "HOUSTON, TEXAS", "TX", "USA", "CST", 20
"HPN", "WESTCHESTER COUNTY", "WESTCHESTER COUNTY, NEW YORK", "NY", "USA", "EST", 20
"IAD", "DULLES INTERNATIONAL", "WASHINGTON, DC", "DC", "USA", "EST", 45
"IAH", "HOUSTON INTERCONTINENTAL", "HOUSTON, TEXAS", "TX", "USA", "CST", 45
"IND", "INDIANAPOLIS INTERNATIONAL", "INDIANAPOLIS, INDIANA", "IN", "USA", "EST", 40
"JFK", "JOHN F. KENNEDY INTERNATIONAL", "NEW YORK NY/NEWARK, NJ", "NY", "USA", "EST", 60
"LAS", "MCCARRAN INTERNATIONAL", "LAS VEGAS, NEVADA", "NV", "USA", "PST", 35
