"B",  10, "COACH ECONOMY CLASS DISCOUNTED"
"BN", 17, "COACH ECONOMY CLASS DISCOUNTED NIGHT SERVICE"
"C",   4, "BUSINESS CLASS"
"CN",  8, "BUSINESS CLASS NIGHT SERVICE"
"F",   2, "FIRST CLASS"
"FN",  6, "FIRST CLASS NIGHT SERVICE"
"H",  11, "COACH ECONOMY CLASS DISCOUNTED"
"J",   3, "BUSINESS CLASS PREMIUM"
"K",  10, "THRIFT ECONOMY CLASS"
"KN", 18, "THRIFT ECONOMY CLASS DISCOUNTED NIGHT SERVICE"
"L",  15, "THRIFT ECONOMY CLASS DISCOUNTED"
"M",  13, "COACH ECONOMY CLASS DISCOUNTED"
"P",   1, "FIRST CLASS PREMIUM"
"Q",  12, "COACH ECONOMY CLASS DISCOUNTED"
"S",   5, "STANDARD CLASS"
"U",  19, "SHUTTLE SERVICE (NO RESERVATION NEEDED - SEAT GUARANTEED)"
"V",  16, "THRIFT ECONOMY CLASS DISCOUNTED"
"Y",   7, "COACH ECONOMY CLASS"
"YN",  9, "COACH ECONOMY CLASS NIGHT SERVICE"
