"100001", "DAILY", "BNA", "ATL", 0540, 0733, "DL611", "DL", 611, "D9S", "S/", 0, 0, "NO", 0053
"100002", "DAILY", "BNA", "ATL", 0710, 0910, "DL1154", "DL", 1154, "73S", "S/", 0, 0, "NO", 0060
"100003", "DAILY", "BNA", "ATL", 0831, 1046, "AA4420", "AA", 4420, "SF3", "", 0, 0, "YES", 0075
"100004", "DAILY", "BNA", "ATL", 0900, 1105, "DL7558", "DL", 7558, "EM2", "", 0, 0, "YES", 0065
"100005", "NOT SA SU", "BNA", "ATL", 1045, 1243, "DL1122", "DL", 1122, "M80", "", 0, 0, "NO", 0058
"100006", "SA SU", "BNA", "ATL", 1045, 1243, "DL1122", "DL", 1122, "73S", "", 0, 0, "NO", 0058
"100007", "DAILY", "BNA", "ATL", 1230, 1427, "DL784", "DL", 784, "M80", "", 0, 0, "NO", 0057
"100008", "DAILY", "BNA", "ATL", 1405, 1605, "DL1680", "DL", 1680, "73S", "", 0, 0, "NO", 0060
"100009", "DAILY", "BNA", "ATL", 1440, 1655, "AA4526", "AA", 4526, "SF3", "", 0, 0, "YES", 0075
"100010", "DAILY", "BNA", "ATL", 1550, 1752, "DL1192", "DL", 1192, "72S", "", 0, 0, "NO", 0062
"100011", "DAILY", "BNA", "ATL", 1925, 2125, "DL1523", "DL", 1523, "D9S", "", 0, 0, "NO", 0060
"100012", "DAILY", "BNA", "ATL", 1935, 2150, "AA4666", "AA", 4666, "SF3", "", 0, 0, "YES", 0075
"100013", "NOT SA", "BNA", "ATL", 2100, 2305, "DL7562", "DL", 7562, "EM2", "", 0, 0, "YES", 0065
"100014", "DAILY", "BOS", "ATL", 0630, 0859, "DL225", "DL", 225, "767", "B", 0, 0, "NO", 0149
"100015", "DAILY", "BOS", "ATL", 0820, 1054, "DL655", "DL", 655, "L10", "B", 0, 0, "NO", 0154
"100016", "DAILY", "BOS", "ATL", 0945, 1216, "DL205", "DL", 205, "767", "B", 0, 0, "NO", 0151
"100017", "DAILY", "BOS", "ATL", 1140, 1414, "DL1085", "DL", 1085, "757", "L", 0, 0, "NO", 0154
"100018", "DAILY", "BOS", "ATL", 1325, 1554, "DL1001", "DL", 1001, "72S", "L", 0, 0, "NO", 0149
"100019", "DAILY", "BOS", "ATL", 1525, 1805, "DL867", "DL", 867, "763", "S", 0, 0, "NO", 0160
"100020", "NOT SA", "BOS", "ATL", 1730, 2137, "US1048", "US", 1048, "D9S", "S", 1, 0, "NO", 0247
"100021", "DAILY", "BOS", "ATL", 1905, 2138, "DL981", "DL", 981, "757", "D", 0, 0, "NO", 0153
"100022", "DAILY", "BWI", "ATL", 0545, 0728, "DL444", "DL", 444, "M80", "B", 0, 0, "NO", 0103
"100023", "DAILY", "BWI", "ATL", 0850, 1035, "US456", "US", 456, "D9S", "B/S", 0, 0, "NO", 0105
"100024", "DAILY", "BWI", "ATL", 0900, 1046, "DL769", "DL", 769, "M80", "S", 0, 0, "NO", 0106
"100025", "DAILY", "BWI", "ATL", 1220, 1402, "US1889", "US", 1889, "100", "L", 0, 0, "NO", 0102
"100026", "DAILY", "BWI", "ATL", 1240, 1423, "DL911", "DL", 911, "M80", "L", 0, 0, "NO", 0103
"100027", "DAILY", "BWI", "ATL", 1600, 1742, "US1231", "US", 1231, "100", "S", 0, 0, "NO", 0102
"100028", "DAILY", "BWI", "ATL", 1600, 1743, "DL1093", "DL", 1093, "M80", "", 0, 0, "NO", 0103
"100029", "DAILY", "BWI", "ATL", 1925, 2104, "DL1005", "DL", 1005, "757", "D", 0, 0, "NO", 0099
"100030", "NOT SA", "BWI", "ATL", 1950, 2137, "US1048", "US", 1048, "D9S", "S/", 0, 0, "NO", 0107
"100031", "DAILY", "CLE", "ATL", 0600, 0737, "DL1507", "DL", 1507, "72S", "B", 0, 0, "NO", 0097
"100032", "NOT SU", "CLE", "ATL", 0820, 1005, "CO599", "CO", 599, "D9S", "B/S", 0, 0, "NO", 0105
"100033", "DAILY", "CLE", "ATL", 0905, 1045, "DL545", "DL", 545, "72S", "S", 0, 0, "NO", 0100
"100034", "NOT SU", "CLE", "ATL", 1020, 1324, "US1523", "US", 1523, "D9S", "S", 1, 0, "NO", 0184
"100035", "DAILY", "CLE", "ATL", 1225, 1400, "DL985", "DL", 985, "M80", "L", 0, 0, "NO", 0095
"100036", "DAILY", "CLE", "ATL", 1430, 1621, "CO1523", "CO", 1523, "D9S", "", 0, 0, "NO", 0111
"100037", "DAILY", "CLE", "ATL", 1605, 1743, "DL1109", "DL", 1109, "M80", "", 0, 0, "NO", 0098
"100038", "SU", "CLE", "ATL", 1830, 2000, "DL1890", "DL", 1890, "310", "D", 0, 0, "NO", 0090
"100039", "NOT SA", "CLE", "ATL", 1833, 2022, "CO825", "CO", 825, "D9S", "D/S", 0, 0, "NO", 0109
"100040", "DAILY", "CLE", "ATL", 1955, 2130, "DL1173", "DL", 1173, "72S", "", 0, 0, "NO", 0095
"100041", "DAILY", "CLT", "ATL", 0630, 0731, "DL671", "DL", 671, "M80", "S", 0, 0, "NO", 0061
"100042", "NOT SU", "CLT", "ATL", 0645, 0746, "TW751", "TW", 751, "DC9", "", 0, 0, "NO", 0061
"100043", "NOT SU", "CLT", "ATL", 0725, 0830, "US797", "US", 797, "73S", "S", 0, 0, "NO", 0065
"100044", "NOT SA SU", "CLT", "ATL", 0810, 0912, "DL955", "DL", 955, "M80", "S", 0, 0, "NO", 0062
"100045", "DAILY", "CLT", "ATL", 0950, 1056, "US716", "US", 716, "73S", "", 0, 0, "NO", 0066
