city_name,population,country_name,state_name
'birmingham',284413,'usa','alabama'
'mobile',200452,'usa','alabama'
'montgomery',177857,'usa','alabama'
'huntsville',142513,'usa','alabama'
'tuscaloosa',75143,'usa','alabama'
'anchorage',174431,'usa','alaska'
'phoenix',789704,'usa','arizona'
'tucson',330537,'usa','arizona'
'mesa',152453,'usa','arizona'
'tempe',106919,'usa','arizona'
'glendale',96988,'usa','arizona'
'scottsdale',88622,'usa','arizona'
'little rock',158915,'usa','arkansas'
'fort smith',71384,'usa','arkansas'
'north little rock',64388,'usa','arkansas'
'los angeles',2966850,'usa','california'
'san diego',875538,'usa','california'
'san francisco',678974,'usa','california'
'san jose',629442,'usa','california'
'long beach',361334,'usa','california'
'oakland',339337,'usa','california'
'sacramento',275741,'usa','california'
'anaheim',219311,'usa','california'
'fresno',218202,'usa','california'
'santa ana',203713,'usa','california'
'riverside',170876,'usa','california'
'huntington beach',170505,'usa','california'
'stockton',149779,'usa','california'
'glendale',139060,'usa','california'
'fremont',131945,'usa','california'
'torrance',131497,'usa','california'
'garden grove',123351,'usa','california'
'san bernardino',118794,'usa','california'
'pasadena',118072,'usa','california'
'east los angeles',110017,'usa','california'
'oxnard',108195,'usa','california'
'modesto',106963,'usa','california'
'sunnyvale',106618,'usa','california'
'bakersfield',105611,'usa','california'
'concord',103763,'usa','california'
'berkeley',103328,'usa','california'
'fullerton',102246,'usa','california'
'inglewood',94162,'usa','california'
'hayward',93585,'usa','california'
'pomona',92742,'usa','california'
'orange',91450,'usa','california'
'ontario',88820,'usa','california'
'santa monica',88314,'usa','california'
'santa clara',87700,'usa','california'
'citrus heights',85911,'usa','california'
'norwalk',84901,'usa','california'
'burbank',84625,'usa','california'
'chula vista',83927,'usa','california'
'santa rosa',83205,'usa','california'
'downey',82602,'usa','california'
'costa mesa',82291,'usa','california'
'compton',81230,'usa','california'
'carson',81221,'usa','california'
'salinas',80479,'usa','california'
'west covina',80292,'usa','california'
'vallejo',80188,'usa','california'
'el monte',79494,'usa','california'
'daly city',78519,'usa','california'
'thousand oaks',77797,'usa','california'
'san mateo',77640,'usa','california'
'simi valley',77500,'usa','california'
'oceanside',76698,'usa','california'
'richmond',74676,'usa','california'
'lakewood',74654,'usa','california'
'santa barbara',74542,'usa','california'
'el cajon',73892,'usa','california'
'ventura',73774,'usa','california'
'westminster',71133,'usa','california'
'whittier',68558,'usa','california'
'south gate',66784,'usa','california'
'alhambra',64767,'usa','california'
'buena park',64165,'usa','california'
'san leandro',63952,'usa','california'
'alameda',63852,'usa','california'
'newport beach',63475,'usa','california'
'escondido',62480,'usa','california'
'irvine',62134,'usa','california'
'mountain view',58655,'usa','california'
'fairfield',58099,'usa','california'
'redondo beach',57102,'usa','california'
'scotts valley',6037,'usa','california'
'denver',492365,'usa','colorado'
'colorado springs',215150,'usa','colorado'
'aurora',158588,'usa','colorado'
'lakewood',113808,'usa','colorado'
'pueblo',101686,'usa','colorado'
'arvada',84576,'usa','colorado'
'boulder',76685,'usa','colorado'
'fort collins',64632,'usa','colorado'
'bridgeport',142546,'usa','connecticut'
'hartford',136392,'usa','connecticut'
'new haven',126089,'usa','connecticut'
